Category,Subcategory,Subcategory2,Command,Notes
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOTA,#NAME?
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOTB,#NAME?
Cruisers,Page 15,,SHIP_CUSTOM CREW_SHIP_ORCHID,- Mayeb - Ivar - Ty'E'Rel
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_KESTREL,Vanilla Kestrel Cruisers
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_ENGI,Vanilla Engi Cruisers
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_FED,Vanilla Federation Cruisers
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_ZOLTAN,Vanilla Zoltan Cruisers
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_MANTIS,Vanilla Mantis Cruisers
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_SLUG,Vanilla Slug Cruisers
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_ROCK,Vanilla Rock Cruisers
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_STEALTH,Vanilla Stealth Cruisers
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_LANIUS,Vanilla Lanius Cruisers
Cruisers,Page 16,,SHIP_CUSTOM VANILLA_SHIP_CRYSTAL,Vanilla Crystal Cruisers
Cruisers,Page 17,,SHIP_CUSTOM PLAYER_SHIP_VANILLA,Alpha Kestrel Cruiser
Cruisers,Page 17,,SHIP_CUSTOM PLAYER_SHIP_PLEASUREFLAG,The Pleasure Flagship
Cruisers,Page 17,,SHIP_CUSTOM PLAYER_SHIP_LIMIT,Unoptimized Cruisers
Cruisers,Page 17,,SHIP_CUSTOM PLAYER_SHIP_STUPIDGHOST,Wrecked Bombers
Cruisers,Page 17,,SHIP_CUSTOM PLAYER_SHIP_GOLD,Pimped Out Cruisers (Beacon Eater)
Cruisers,Page 17,,SHIP_CUSTOM PLAYER_SHIP_GOLD_2,Pimped Out Cruisers (LaRoache)
Cruisers,Page 17,,SHIP_CUSTOM CREW_SHIP_WITHER,Aenwithe's Crewser
Cruisers,Page 17,,SHIP_CUSTOM CREW_SHIP_WITHER_2,Child Crewser
Cruisers,Page 17,,SHIP_CUSTOM PLAYER_SHIP_SYLVAN_TRANSPORT,Merchant Transports
Cruisers,Page 17,,SHIP_CUSTOM PLAYER_SHIP_LIMIT_4,Unoptimized Cruiser Mk IV
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_UNION,Union Sector
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_UNION_UNIQUE,Union Coreworlds [!]
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_HACKER_UNIQUE,Hacked Sector [!]
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_MILITIA_UNIQUE,Militia Encampment [!]
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_FEDERATION,Federation Sector
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_FEDERATION_UNIQUE,Federation Embassy [!]
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_HARMONY,Harmony Sector
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_HARMONY_UNIQUE,Harmony Coreworlds [!]
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_MINISTRY,Ministry Sector
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_MINISTRY_UNIQUE,Ministry Capital [!]
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_GATHERING,Gathering Sector
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_GATHERING_UNIQUE,Gathering Gardenworlds
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_FREEMANTIS,Free Mantis Sector
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_FREEMANTIS_UNIQUE,Hunting Grounds [!]
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_OUTCAST,Outcast Sector
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_OUTCAST_UNIQUE,Theocracy Badlands [!]
Sectors,Friendly Sectors (Green),,SECTOR SECTOR_IMPERIAL,Imperial Sector
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_CONFEDERATE,Confederate Sector
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_CONFEDERATE_UNIQUE,Confederate Coreworlds [!]
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_SEPARATIST,Liberated Sector
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_SEPARATIST_UNIQUE,Emancipated Sanctuary
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_PIRATE,Pirate Sector
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_PIRATE_HEKTAR,Pirate Sector (Sale!)
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_PIRATE_UNIQUE,The Black Market [!]
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_LOSTSUN_UNIQUE,Lost Sun Stronghold [!]
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_LANIUS_UNIQUE,Lanius Swarmlands [!]
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_ABANDONED_GENERIC,Abandoned Sector
Sectors,Neutral Sectors (Gray),,SECTOR SECTOR_ABANDONED_GENERIC_HEKTAR,Abandoned Sector (Sale!)
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_REBEL,Rebel Sector
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_REBEL_UNIQUE,Rebel Stronghold [!]
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_HIVE,Hive Sector
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_HIVE_UNIQUE,Hive Broodworlds [!]
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_THEOCRACY,Theocracy Sector
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_THEOCRACY_UNIQUE,Theocracy Homeworlds [!]
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_IMPERIAL_UNIQUE,Imperial New-Homelands [!]
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_DUSKBRINGER,Duskbringer Sector
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_DUSKBRINGER_UNIQUE,Duskbringer Stronghold [!]
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_COALITION,Coalition Sector
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_AUTO,Automated Sector
Sectors,Hostile Sectors (Red),,SECTOR SECTOR_AUTO_UNIQUE,Central Shipyards [!]
Sectors,Hazard Sectors (Purple),,SECTOR SECTOR_UNEXPLORED_GENERIC,Nebulous Sector
Sectors,Hazard Sectors (Purple),,SECTOR SECTOR_STARGROVE_UNIQUE,The Stargrove [!]
Sectors,Hazard Sectors (Purple),,SECTOR SECTOR_KLEPTOCRACY,Kleptocracy Nebula
Sectors,Hazard Sectors (Purple),,SECTOR SECTOR_KLEPTOCRACY_UNIQUE,Kleptocracy Capital [!]
Crew,Standard Crew,Human,CREW human,
Crew,Standard Crew,Human,CREW human_medic,
Crew,Standard Crew,Human,CREW human_engineer,
Crew,Standard Crew,Human,CREW human_rebel,
Crew,Standard Crew,Human,CREW human_rebel_medic,
Crew,Standard Crew,Engi,CREW engi,
Crew,Standard Crew,Engi,CREW engi_separatist,
Crew,Standard Crew,Engi,CREW engi_separatist_nano,
Crew,Standard Crew,Zoltan,CREW zoltan,
Crew,Standard Crew,Zoltan,CREW zoltan_monk,
Crew,Standard Crew,Zoltan,CREW zoltan_devotee,
Crew,Standard Crew,Zoltan,CREW zoltan_osmian,
Crew,Standard Crew,Zoltan,CREW zoltan_osmian_enemy,
Crew,Standard Crew,Zoltan,CREW zoltan_osmian_hologram,Does not use a crew slot and does not expire
Crew,Standard Crew,Orchid,CREW orchid,
Crew,Standard Crew,Orchid,CREW orchid_vampweed,
Crew,Standard Crew,Orchid,CREW orchid_caretaker,
Crew,Standard Crew,Shell,CREW shell,
Crew,Standard Crew,Shell,CREW shell_scientist,
Crew,Standard Crew,Shell,CREW shell_mechanic,
Crew,Standard Crew,Shell,CREW shell_guardian,
Crew,Standard Crew,Mantis,CREW mantis,
Crew,Standard Crew,Mantis,CREW mantis_free,
Crew,Standard Crew,Rock,CREW rock,
Crew,Standard Crew,Rock,CREW rock_outcast,
Crew,Standard Crew,Rock,CREW rock_commando,
Crew,Standard Crew,Rock,CREW rock_cultist,
Crew,Standard Crew,Crystal,CREW crystal,
Crew,Standard Crew,Crystal,CREW crystal_liberator,
Crew,Standard Crew,Slug,CREW slug,
Crew,Standard Crew,Slug,CREW slug_hektar,
Crew,Standard Crew,Slug,CREW slug_clansman,
Crew,Standard Crew,Leech,CREW leech,
Crew,Standard Crew,Ghost,CREW phantom,
Crew,Standard Crew,Ghost,CREW phantom_goul,
Crew,Standard Crew,Ghost,CREW phantom_mare,
Crew,Standard Crew,Ghost,CREW phantom_wraith,
Crew,Standard Crew,Lanius,CREW lanius,
Crew,Standard Crew,Lanius,CREW lanius_augmented,
Crew,Standard Crew,Spider,CREW spider,
Crew,Standard Crew,Spider,CREW spider_weaver,
Crew,Standard Crew,Spider,CREW spider_hatch,
Crew,Standard Crew,Equinoid,CREW pony,
Crew,Standard Crew,Equinoid,CREW pony_tamed,
Crew,Standard Crew,Lizard,CREW lizard,
Crew,Elite Crew,Human,CREW human_soldier,
Crew,Elite Crew,Human,CREW human_mfk,
Crew,Elite Crew,Human,CREW human_legion,
Crew,Elite Crew,Human,CREW human_legion_pyro,
Crew,Elite Crew,Human,CREW human_technician,
Crew,Elite Crew,Human,CREW human_technician_drone,Does not use a crew slot and does not expire
Crew,Elite Crew,Human,CREW human_angel,
Crew,Elite Crew,Engi,CREW engi_defender,
Crew,Elite Crew,Zoltan,CREW zoltan_peacekeeper,
Crew,Elite Crew,Zoltan,CREW zoltan_martyr,
Crew,Elite Crew,Zoltan,CREW zoltan_infernum,
Crew,Elite Crew,Zoltan,CREW zoltan_infernum_defector,
Crew,Elite Crew,Orchid,CREW orchid_praetor,
Crew,Elite Crew,Orchid,CREW orchid_cultivator,
Crew,Elite Crew,Mantis,CREW mantis_suzerain,
Crew,Elite Crew,Mantis,CREW mantis_warlord,
Crew,Elite Crew,Mantis,CREW mantis_bishop,
Crew,Elite Crew,Rock,CREW rock_crusader,
Crew,Elite Crew,Rock,CREW rock_paladin,
Crew,Elite Crew,Crystal,CREW crystal_sentinel,
Crew,Elite Crew,Shell,CREW shell_radiant,
Crew,Elite Crew,Leech,CREW leech_ampere,
Crew,Elite Crew,Slug,CREW slug_saboteur,
Crew,Elite Crew,Slug,CREW slug_knight,
Crew,Elite Crew,Slug,CREW slug_ranger,
Crew,Elite Crew,Ghost,CREW phantom_alpha,
Crew,Elite Crew,Ghost,CREW phantom_goul_alpha,
Crew,Elite Crew,Ghost,CREW phantom_mare_alpha,
Crew,Elite Crew,Ghost,CREW phantom_wraith_alpha,
Crew,Elite Crew,Lanius,CREW lanius_welder,
Crew,Unique Crew,Human,CREW unique_haynes,
Crew,Unique Crew,Human,CREW unique_tully,
Crew,Unique Crew,Human,CREW unique_ellie_lvl1,Change level between 1-6 for different bloodlust levels
Crew,Unique Crew,Human,CREW unique_ellie_stephan,
Crew,Unique Crew,Human,CREW unique_jerry,
Crew,Unique Crew,Human,CREW unique_jerry_gun,
Crew,Unique Crew,Human,CREW unique_jerry_pony,
Crew,Unique Crew,Human,CREW unique_jerry_pony_crystal,
Crew,Unique Crew,Zoltan,CREW unique_anurak,
Crew,Unique Crew,Zoltan,CREW unique_devorak,
Crew,Unique Crew,Zoltan,CREW unique_mafan,
Crew,Unique Crew,Engi,CREW unique_turzil,
Crew,Unique Crew,Rock,CREW unique_ariadne,
Crew,Unique Crew,Rock,CREW unique_tuco,
Crew,Unique Crew,Rock,CREW unique_vortigon,
Crew,Unique Crew,Rock,CREW unique_symbiote,Rig and Tintin
Crew,Unique Crew,Rock,CREW rock_elder,
Crew,Unique Crew,Salt,CREW unique_obyn,
Crew,Unique Crew,Crystal,CREW unique_ruwen,
Crew,Unique Crew,Crystal,CREW unique_dianesh,
Crew,Unique Crew,Mantis,CREW unique_kaz,
Crew,Unique Crew,Mantis,CREW unique_freddy,
Crew,Unique Crew,Mantis,CREW unique_freddy_sombrero,
Crew,Unique Crew,Mantis,CREW unique_freddy_jester,
Crew,Unique Crew,Mantis,CREW unique_freddy_fedora,
Crew,Unique Crew,Mantis,CREW unique_freddy_twohats,
Crew,Unique Crew,Slug,CREW unique_nights,
Crew,Unique Crew,Slug,CREW unique_slocknog,
Crew,Unique Crew,Slug,CREW unique_sylvan,
Crew,Unique Crew,Slug,CREW unique_irwin,
Crew,Unique Crew,Slug,CREW unique_irwin_demon,
Crew,Unique Crew,Slug,CREW unique_billy,
Crew,Unique Crew,Lanius,CREW unique_eater,
Crew,Unique Crew,Lanius,CREW unique_anointed,
Crew,Unique Crew,Ghost,CREW unique_dessius,
Crew,Unique Crew,Orchid,CREW unique_mayeb,
Crew,Unique Crew,Orchid,CREW unique_tyerel,
Crew,Unique Crew,Orchid,CREW unique_ivar,
Crew,Unique Crew,Shell,CREW unique_alkali,
Crew,Unique Crew,Leech,CREW unique_tyrdeo,
Crew,Unique Crew,Leech,CREW unique_alkram,
Crew,Unique Crew,Leech,CREW unique_tonysr,
Crew,Unique Crew,Spider,CREW unique_queen,
Crew,Unique Crew,Lizard,CREW unique_guntput,
Crew,Unique Crew,Lizard,CREW unique_metyunt,
Crew,Unique Crew,Morph,CREW unique_ooj,
Crew,Unique Crew,Ancient,CREW unique_wither,Withers AKA Aenwithe. Does not use a crew slot
Crew,Morph Crew,Morph,CREW blob,
Crew,Morph Crew,Morph,CREW blobhuman,
Crew,Morph Crew,Morph,CREW blobzoltan,
Crew,Morph Crew,Morph,CREW blobrock,
Crew,Morph Crew,Morph,CREW blobcrystal,
Crew,Morph Crew,Morph,CREW blobmantis,
Crew,Morph Crew,Morph,CREW blobfreemantis,
Crew,Morph Crew,Morph,CREW blobslug,
Crew,Morph Crew,Morph,CREW bloborchid,
Crew,Morph Crew,Morph,CREW blobvampweed,
Crew,Morph Crew,Morph,CREW blobswarm,
Crew,Morph Crew,Morph,CREW blobshell,
Crew,Morph Crew,Morph,CREW blobleech,
Crew,Morph Crew,Morph,CREW blobhatch,
Crew,Morph Crew,Morph,CREW blobspider,
Crew,Morph Crew,Morph,CREW blobweaver,
Crew,Morph Crew,Morph,CREW bloblizard,
Crew,Morph Crew,Morph,CREW blobpony,
Crew,Morph Crew,Morph,CREW blobsalt,
Crew,Morph Crew,Technopath,CREW techno,
Crew,Morph Crew,Technopath,CREW technoengi,
Crew,Morph Crew,Technopath,CREW technolanius,
Crew,Morph Crew,Technopath,CREW technoancient,
Crew,Morph Crew,Technopath,CREW technoavatar,
Crew,Morph Crew,Technopath,CREW technobattle,
Crew,Morph Crew,Technopath,CREW technobattle2,
Crew,Morph Crew,Technopath,CREW technoboarderion,
Crew,Morph Crew,Technopath,CREW technorepair,
Crew,Morph Crew,Technopath,CREW technodoctor,
Crew,Morph Crew,Technopath,CREW technomanning,
Crew,Morph Crew,Technopath,CREW technorecon,
Crew,Morph Crew,Technopath,CREW technoconstructor,
Crew,Morph Crew,Technopath,CREW technoproducer,
Crew,Morph Crew,Technopath,CREW technograzier,
Crew,Morph Crew,Technopath,CREW technoatom,
Crew,Morph Crew,Technopath,CREW technodirector,
Crew,Morph Crew,Technopath,CREW technomender,
Crew,Morph Crew,Technopath,CREW technoroomba,
Crew,Morph Crew,Technopath,CREW technoa55,
Crew,Morph Crew,Technopath,CREW technogana,
Crew,Morph Crew,Malform,CREW gold,
Crew,Morph Crew,Malform,CREW goldsoldier,
Crew,Morph Crew,Malform,CREW golddefend,
Crew,Morph Crew,Malform,CREW goldcrusader,
Crew,Morph Crew,Malform,CREW goldsentinel,
Crew,Morph Crew,Malform,CREW goldsuzerain,
Crew,Morph Crew,Malform,CREW goldwarlord,
Crew,Morph Crew,Malform,CREW goldsabo,
Crew,Morph Crew,Malform,CREW goldwelder,
